epoch,loss
0,0.7732869287331899
1,0.6825980097055435
2,0.6676931877930959
3,0.6442544162273407
4,0.6377406318982443
5,0.6329155762990316
6,0.6290999054908752
7,0.6142086486021677
8,0.6115871171156565
9,0.6011945803960165
10,0.6039552092552185
11,0.566852072874705
12,0.566970427831014
13,0.5426551699638367
14,0.5243047773838043
15,0.5113670825958252
16,0.4709522028764089
17,0.4500073989232381
18,0.44867661595344543
19,0.4122280975182851
20,0.3776039828856786
21,0.3231204201777776
22,0.3268705705801646
23,0.25754987448453903
24,0.24382621546586355
25,0.22244470193982124
26,0.18427043159802756
27,0.19631460309028625
28,0.1622694954276085
29,0.28256773948669434
30,0.19076130290826163
31,0.17147540797789892
32,0.11952412873506546
33,0.1377498358488083
34,0.15123518308003744
35,0.11279177169005077
36,0.08696364300946395
37,0.08945755039652188
38,0.13161911318699518
39,0.06097630225121975
40,0.11560692638158798
41,0.12602446849147478
42,0.06890712057550748
43,0.04622543246174852
44,0.05796785466372967
45,0.0523899313993752
46,0.13677814168234667
47,0.07925278320908546
48,0.06343404824535052
49,0.06161731233199438
50,0.06774005200713873
51,0.06397915507356326
52,0.037607910111546516
53,0.045370701079567276
54,0.02140796820943554
55,0.019743095462520916
56,0.018132213968783617
57,0.027686408953741193
58,0.030658876212934654
59,0.007827053777873516
60,0.009397116489708424
61,0.018597417511045933
62,0.015506033785641193
63,0.015970837480078142
64,0.09704289065363507
65,0.006065487939243515
66,0.07370899524539709
67,0.07700679823756218
68,0.042536498978734016
69,0.02702357651044925
70,0.012217520270496607
71,0.02520198398269713
72,0.02238059292236964
73,0.028821895519892376
74,0.03239821596071124
75,0.018541447818279266
76,0.03921430433789889
77,0.04566936334595084
78,0.03706485591828823
79,0.017495629998544853
80,0.039992108941078186
81,0.00856014247983694
82,0.0402553795526425
83,0.009909577512492737
84,0.0025463911394278207
85,0.01095623585085074
86,0.008589580344657103
87,0.009641380670169989
88,0.00852091625953714
89,0.009667721344158053
90,0.003040447491609181
91,0.005520647508092225
92,0.002844505749332408
93,0.018721282947808504
94,0.009116854518651962
95,0.005530444652928661
96,0.010643703998842588
97,0.007713645463809371
98,0.018123622556837898
99,0.013251814215133587
100,0.006895814653641234
101,0.005155237779642145
102,0.004234523793760066
103,0.002518897410482168
104,0.04394060311218103
105,0.0018503674461195867
106,0.022707013102869194
107,0.024536805305009086
108,0.02084921665179233
109,0.037203541646401085
110,0.012895647436380386
111,0.01532102319955205
112,0.008194365072995424
113,0.007082566308478515
114,0.01145385749017199
115,0.006074835701535146
116,0.021316186524927616
117,0.0034046765261640153
118,0.02959357729802529
119,0.01934156318505605
120,0.00415416993200779
121,0.011397833043398956
122,0.018881706094058853
123,0.0029277332747975984
124,0.01860407266455392
125,0.010762403253465891
126,0.002667442876069496
127,0.008247424377865778
128,0.0013237605841519933
129,0.009553730487823486
130,0.002973928271482388
131,0.016866782990594704
132,0.011271228237698475
133,0.021808585695301492
134,0.013530594645999372
135,0.004623751311252515
136,0.02717425619872908
137,0.00237003395644327
138,0.0025081030617002398
139,0.0109318911175554
140,0.0025225538993254304
141,0.007652492572863896
142,0.011675759422359988
143,0.002569062499484668
144,0.004006129631306976
145,0.00462037930265069
146,0.0046905227936804295
147,0.0036455713076672205
148,0.005997282142440478
149,0.003261830269669493
150,0.0038466139618928232
151,0.004697988382152592
152,0.001964348639982442
153,0.0031528019074661038
154,0.0029214800354869417
155,0.0016823474749495897
156,0.0024164855713024735
157,0.004414612893015146
158,0.019935171663140256
159,0.002964492809648315
160,0.012504575153191885
161,0.04224782157689333
162,0.020767010748386383
163,0.02305258500079314
164,0.010350899305194616
165,0.008918159330884615
166,0.008902953782429298
167,0.0071125281586622196
168,0.003211860079318285
169,0.012623827283581098
170,0.0008482245223907133
171,0.007432043397178252
172,0.00669618970520484
173,0.004429025885959466
174,0.0013452713222553332
175,0.00502267154903772
176,0.001165549367821465
177,0.000977224806168427
178,0.004166568396613002
179,0.00876145220051209
180,0.009246624850978455
181,0.00033417463176495704
182,0.000902364103239961
183,0.006641216847735147
184,0.004653585298607747
185,0.01427287639429172
186,0.0030124397696151086
187,0.004497553260686497
188,0.015107978445788225
189,0.003901370335370302
190,0.0038514588183412948
191,0.003426119238914301
192,0.002087395618824909
193,0.002095310987594227
194,0.005316474222733329
195,0.011915005530075481
196,0.009199522901326418
197,0.0037521025903212526
198,0.0052523323489973945
199,0.010889302745151022
200,0.00501870767523845
201,0.0014004942107324798
202,0.007478897537415226
203,0.0012588770284006994
204,0.005081489371756713
205,0.0023865603919451437
206,0.002679102927989637
207,0.004725296709996958
208,0.004309462344584365
209,0.007822817734753093
210,0.002855947367303694
211,0.002774232047765205
212,0.002733278670348227
213,0.004332333415125807
214,0.0012047504642396234
215,0.0017545981875931223
216,0.0011930597781126078
217,0.002225123733902971
218,0.00403165107127279
219,0.0024562135513406247
220,0.0030093290843069553
221,0.00578917073047099
222,0.002024405616490791
223,0.0011453034676378593
224,0.007910600320125619
225,0.000667792628519237
226,0.0019920014698679247
227,0.0024593347237290195
228,0.001570582971908152
229,0.0038377903401851654
230,0.005472305075575908
231,0.0009519023466661262
232,0.004390490522685771
233,0.0018465307463581364
234,0.010334784417257955
235,0.0020974143990315497
236,0.0037774641144399843
237,0.0032902309127772846
238,0.0016334068204741925
239,0.001887395764545848
240,0.003427664632909
241,0.0012394948401682389
242,0.0006454608616574357
243,0.0015589423613467563
244,0.002393370057689026
245,0.005931523938973744
246,0.001351708546280861
247,0.00191031575013767
248,0.003909186717161599
249,0.002848907606676221
250,0.0010588891454972327
251,0.006756753738348682
252,0.0018326971573211874
253,0.0009489980972527216
254,0.001962256229793032
255,0.00047634697208801907
256,0.0022907512417683997
257,0.0019599922185686105
258,0.0014399825789344807
259,0.004272895981557667
260,0.002244798932224512
261,0.0018713779281824827
262,0.0016225971970319126
263,0.0019277627992172104
264,0.0013345081360967015
265,0.001687982080814739
266,0.001187800740202268
267,0.0020025449727351465
268,0.00011966842430410907
269,0.00036108297839139897
270,0.0005255109281279147
271,0.0004524043227623527
272,0.0016873234320276727
273,0.0007716170743303034
274,0.0014841314405202866
275,0.0018963760618741314
276,0.00434406796315064
277,0.001501641127106268
278,0.0005881808853397766
279,0.0005021251005625041
280,0.0014091404348922272
281,0.0005342973478642913
282,0.0012798484337205689
283,0.0007447281641361769
284,0.0007002761170345669
285,0.005475955122771363
286,0.0019239204314847786
287,0.0009888944526513417
288,0.0008398425998166203
289,0.001288483093958348
290,0.000631933604987959
291,0.0007895079130927721
292,0.0005645032118385037
293,0.0010223983457156767
294,0.0010850336596680183
295,0.0005763066001236439
296,0.0015741830502520315
297,0.0005693619168596342
298,0.00040343451776910416
299,0.0015263155898234497
300,0.001267222435368846
301,0.0009346022852696478
302,0.0005761564728648713
303,0.0007796733552822843
304,0.0006760246084619818
305,0.0019780506675791307
306,0.0017461844666589361
307,0.0015388225438073277
308,0.0015923072739193838
309,0.0014452386725073059
310,0.001361171433624501
311,0.0009035852514595414
312,0.0016151473391801119
313,0.0019818072323687375
314,0.016420496782908838
315,0.0005404245457611978
316,0.009057559072971344
317,0.005345378953885908
318,0.001200335876395305
319,0.0015838112061222394
320,0.0009446754314315816
321,0.0018205185576031606
322,0.0005000160357061153
323,0.0012949565037464101
324,0.004180626245215535
325,0.0031618476399065307
326,0.0019866631870778897
327,0.0015301607782021165
328,0.0012886772262087713
329,0.0025070586707443
330,0.0007569535518996418
331,0.0012521861450901877
332,0.0018386210310078848
333,0.01572545893335094
334,0.0020710245832257592
335,0.0022549538407474756
336,0.0024071617905671396
337,0.0007299219335739812
338,0.0008411365027617043
339,0.0016766872722655535
340,0.015170301194302738
341,0.001287050040749212
342,0.0018287439403745036
343,0.007870835106587037
344,0.0013477709920456011
345,0.0019773767174532018
346,0.00228114523148785
347,0.00201811408624053
348,0.001824212129577063
349,0.0009903868291682254
350,0.0005227368750032232
351,0.002300090932597717
352,0.00011621057577334189
353,0.0006163339069947446
354,8.669609026886367e-05
355,0.0005230560782365501
356,0.0007388397158744434
357,0.0022580332685417184
358,0.0026873694344734154
359,0.0007470053024007939
360,0.0024507921383095286
361,0.0036487820325419307
362,0.000889979952868695
363,0.00025500582402552635
364,0.00019952656839450356
365,0.0012847171904771433
366,0.0005922988639213145
367,0.0005842466586424658
368,0.00042027698752159875
369,0.0014242535520073336
370,0.0006789220751670655
371,0.0003278000610104452
372,0.0010074782476294786
373,0.0004007990889173622
374,0.0005714762567852935
375,0.002228569685636709
376,0.0018794466353332002
377,0.0019258608032638829
378,0.0019636135305821276
379,0.000875190618292739
380,0.003353683122744163
381,0.0008858460084108325
382,0.0015351874875098777
383,0.000430833029289109
384,0.001953421403110648
385,0.0006845139093153799
386,0.00024066518623537073
387,0.0008167399597975115
388,0.0021195204850907126
389,0.0018302409346991528
390,0.0005176646470014626
391,0.0006205303458652148
392,0.0003496723317463572
393,0.0006557177354504043
394,0.0011537249617200966
395,0.0001796773673656086
396,0.0027698869622933366
397,0.001630476569213594
398,0.0002777573123845893
399,0.0008166386966574161
400,0.0010056678402179386
401,0.0014138133944167446
402,0.0003703098870270575
403,0.0016200386126001831
404,0.001161355754447868
405,0.0004225183729431592
406,0.0004919419977037857
407,0.00039068987825885415
408,0.001548125078746428
409,0.0013416947088747595
410,0.0009662241791374981
411,0.0011000594240613282
412,0.0003957731726889809
413,0.003420268983366744
414,0.0007966768462210894
415,0.0012096511006044846
416,0.0018154511732670169
417,0.006106744442755978
418,0.0007028536856523715
419,0.000564213153362895
420,0.0006745843711541966
421,0.0012594578535451244
422,0.0005837870315493395
423,0.0009700649983036177
424,0.000571294762873246
425,0.0008513020487346997
426,0.0012597385017822187
427,0.00015285678834212982
428,0.00019206932241407534
429,0.0010263707372359931
430,0.00017520572388699898
431,0.0031699688406661153
432,0.0010489749935610841
433,0.0023012523694584766
434,0.001165734409975509
435,0.001135348613994817
436,0.0008722331840544939
437,0.0020036959710220494
438,0.000656746317569438
439,0.0007130518788471818
440,0.00029271298565921217
441,0.0011922396758260827
442,0.0016487592365592718
443,0.0005551713984459639
444,0.0011989828247654561
445,0.00024392443689672896
446,0.00425216384610394
447,0.001661105527697752
448,0.001079256267985329
449,0.0008040466927923262
450,0.0013857652083970606
451,0.0005122043473117325
452,0.002108092710841447
453,0.000902824899336944
454,0.0011014853177281718
455,0.0002959193225251511
456,0.000721323750137041
457,0.0034251296116660037
458,0.0006259660003706813
459,0.0005542267269144455
460,0.0018882715182068448
461,0.00137408710240076
462,0.0001859272321477571
463,0.00015297240800767517
464,0.0006149997549679634
465,0.0007932373652389894
466,0.0006352948209193224
467,0.0014318280251851927
468,0.0009139311926749846
469,0.0005277574430995932
470,0.00444832572247833
471,0.000577261516203483
472,0.0002554682708553931
473,0.0005151658551767468
474,0.0001542078510586483
475,0.001327356556430459
476,0.0005240227255853824
477,0.0009871561972734828
478,0.0002614756182689841
479,0.0007428850512951612
480,0.00236493411163489
481,0.0011475242038917106
482,0.0007942318479763344
483,0.00042292521296379465
484,0.0007884239797325184
485,0.0005864885946114858
486,0.0016712454380467534
487,0.0007502804965042742
